actor_id,actor_login,year,week_number,week_start,total_events,distinct_repos,push_count,pr_count,issue_count,time_grain,gold_ingested_at
48874448,cgdrm,2024,1,2024-01-01,1,1,0,0,1,week,2026-05-14 21:48:32.391286
887003,sederfes,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
363667,46616C6B,2024,1,2024-01-01,5,1,3,1,0,week,2026-05-14 21:48:32.391286
67491045,m-narin,2024,1,2024-01-01,7,7,0,0,0,week,2026-05-14 21:48:32.391286
90653146,yasinldev,2024,1,2024-01-01,2,1,2,0,0,week,2026-05-14 21:48:32.391286
5379625,vegegoku,2024,1,2024-01-01,4,1,3,0,0,week,2026-05-14 21:48:32.391286
61117193,Lewisliang-GIT,2024,1,2024-01-01,2,2,1,0,0,week,2026-05-14 21:48:32.391286
20110076,ZibanPirate,2024,1,2024-01-01,7,1,1,1,0,week,2026-05-14 21:48:32.391286
16875803,palisadoes,2024,1,2024-01-01,24,4,2,5,3,week,2026-05-14 21:48:32.391286
4449683,kariminf,2024,1,2024-01-01,1,1,1,0,0,week,2026-05-14 21:48:32.391286
67598507,Esquetta,2024,1,2024-01-01,1,1,1,0,0,week,2026-05-14 21:48:32.391286
102385774,HeloisaFelizardo,2024,1,2024-01-01,2,2,0,0,0,week,2026-05-14 21:48:32.391286
54281882,datarods-svc,2024,1,2024-01-01,51,2,51,0,0,week,2026-05-14 21:48:32.391286
84742327,fmck3516,2024,1,2024-01-01,5,1,5,0,0,week,2026-05-14 21:48:32.391286
33072162,echo5-ci,2024,1,2024-01-01,3,1,1,1,0,week,2026-05-14 21:48:32.391286
2025661,buffaybu,2024,1,2024-01-01,2,2,0,0,0,week,2026-05-14 21:48:32.391286
107848231,SlouC14,2024,1,2024-01-01,1,1,0,0,0,week,2026-05-14 21:48:32.391286
